Latitude,Longitude,Precipitation,Temperature,Soil Moisture,Elevation,Mosquito Count
8.6031,99.95367,0,83,0.1,10,16
8.6031,99.95367,0,83,0.1,10,16
8.60315,99.95417,0.05,83,0.1,10,17
8.60315,99.95417,0.05,83,0.1,10,17
8.60303,99.95415,0,78,0.02,10,9
8.60303,99.95415,0,78,0.02,10,9
8.60303,99.95415,0,78,0.02,10,9
8.60305,99.9535,0.05,78,0.1,10,17
8.60262,99.95348,0.1,83,0.1,10,28
8.60262,99.95348,0.1,83,0.1,10,28
8.60262,99.95348,0.1,83,0.1,10,28
8.60262,99.95348,0.1,83,0.1,10,28
8.60378,99.95308,1.5,91,0.35,10,100
8.60378,99.95308,1.5,91,0.35,10,100
8.60378,99.95308,1.5,91,0.35,10,100
8.6037,99.9527,0.2,91,0.23,10,56
8.6037,99.9527,0.2,91,0.23,10,56
8.6037,99.9527,0.2,91,0.23,10,56
8.60408,99.95293,0,78,0.1,10,19
8.60408,99.95293,0.1,78,0.1,10,19
8.60387,99.9527,0.2,91,0.21,10,51
8.60387,99.95303,0,77,0.02,10,13
8.60387,99.95303,0,77,0.02,10,13
8.60537,99.9535,0.1,84,0.1,10,23
8.60537,99.9535,0.1,84,0.1,10,23
8.60537,99.9535,0.1,84,0.1,10,23
8.6055,99.95358,0.1,82,0.1,10,22
8.6055,99.95358,0.1,82,0.1,10,22
8.6055,99.95358,0.1,82,0.1,10,22
8.60655,99.95457,0.1,89,0.1,10,23
8.60655,99.95457,0.1,89,0.1,10,23
8.60655,99.95457,0.1,89,0.1,10,23
8.603546,99.959064,0.1,74,0.1,10,24
8.603546,99.959064,0.1,74,0.1,10,24
8.603622,99.959309,1.5,86,0.35,10,127
8.603622,99.959309,1.5,86,0.35,10,127
8.603622,99.959309,1.5,86,0.35,10,127
8.60496,99.959453,0.15,80,0.17,10,32
8.60496,99.959453,0.15,80,0.17,10,32
8.60783,99.9564,0.2,91,0.23,10,68
8.60847,99.95553,0.1,75,0.1,10,28
8.60847,99.95553,0.1,75,0.1,10,28
8.60847,99.95553,0.1,75,0.1,10,28
8.60847,99.95553,0.1,75,0.1,10,28
8.605233,99.958649,0.9,86,0.35,10,114
8.605233,99.958649,0.9,86,0.35,10,114
8.605706,99.958633,0,74,0.02,10,1
8.5948,99.9657,0,74,0.02,10,3
8.59481,99.96567,0,74,0.02,10,10
8.59481,99.96567,0,74,0.02,10,10
8.59504,99.96581,0.15,80,0.17,10,34
8.59504,99.96581,0.15,80,0.17,10,34
8.5948,99.96616,0.15,80,0.17,10,34
8.59532,99.96585,2,100,0.5,10,264
8.59532,99.96585,2,100,0.5,10,264
8.59505,99.9657,0,74,0.02,10,17
8.59537,99.96513,0.15,80,0.17,10,32
8.59537,99.96513,0.15,80,0.17,10,32
8.59537,99.96513,0.15,80,0.17,10,32
8.59554,99.9653,0,74,0.02,10,6
8.59554,99.9653,0,74,0.02,10,6
8.59554,99.9653,0,74,0.02,10,6
8.604054,99.959137,0.1,80,0.1,10,25
8.604054,99.959137,0.1,80,0.1,10,25
8.604054,99.959137,0.1,80,0.1,10,25
8.5955,99.96584,0,74,0.02,10,12
8.64188,99.89191,1.5,86,0.35,27,120
